delta t (sec),Ground Acceleration (in G)
35.85,-.3878521E-03
35.86,-.8284264E-04
35.87,.2404908E-03
35.88,.4025558E-03
35.89,.3974251E-03
35.9,.3160841E-03
35.91,.2052880E-03
35.92,.9279435E-04
35.93,-.1833463E-05
35.94,-.7895739E-04
35.95,-.1484391E-03
35.96,-.2029070E-03
35.97,-.1611396E-03
35.98,.1058817E-04
35.99,.2455837E-03
36,.4559598E-03
36.01,.5720065E-03
36.02,.5996155E-03
36.03,.6035682E-03
36.04,.6383490E-03
36.05,.6795566E-03
36.06,.6394471E-03
36.07,.5080947E-03
36.08,.3418303E-03
36.09,.2207949E-03
36.1,.1991724E-03
36.11,.2580986E-03
36.12,.3731058E-03
36.13,.5114333E-03
36.14,.6376505E-03
36.15,.7382125E-03
36.16,.8141050E-03
36.17,.7984242E-03
36.18,.6627324E-03
36.19,.4708276E-03
36.2,.3122981E-03
36.21,.2478131E-03
36.22,.2554353E-03
36.23,.2715414E-03
36.24,.2526701E-03
36.25,.2007179E-03
36.26,.1462218E-03
36.27,.1101515E-03
36.28,.9292974E-04
36.29,.8340160E-04
36.3,.7467242E-04
36.31,.7010876E-04
36.32,.1027581E-03
36.33,.2412183E-03
36.34,.4449033E-03
36.35,.5876631E-03
36.36,.6030617E-03
36.37,.4709125E-03
36.38,.2536601E-03
36.39,.5045616E-04
36.4,-.5777977E-04
36.41,-.7256883E-04
36.42,-.5943283E-04
36.43,-.4586910E-04
36.44,.1196690E-04
36.45,.1209679E-03
36.46,.2405611E-03
36.47,.2636244E-03
36.48,.1481246E-03
36.49,-.3619863E-04
36.5,-.2123033E-03
36.51,-.3638134E-03
36.52,-.5040060E-03
36.53,-.6493290E-03
36.54,-.7709266E-03
36.55,-.7851361E-03
36.56,-.6941462E-03
36.57,-.5711144E-03
36.58,-.4774858E-03
36.59,-.4237540E-03
36.6,-.3854922E-03
36.61,-.3361613E-03
36.62,-.2661036E-03
36.63,-.1827484E-03
36.64,-.1082863E-03
36.65,-.6134881E-04
36.66,-.3615001E-04
36.67,-.1505209E-04
36.68,.1413032E-04
36.69,.5076727E-04
36.7,.6673677E-04
36.71,.3231544E-04
36.72,-.4012396E-04
36.73,-.1125862E-03
36.74,-.1444534E-03
36.75,-.1320408E-03
36.76,-.1036357E-03
36.77,-.8653302E-04
36.78,-.8862428E-04
36.79,-.1014069E-03
36.8,-.1126580E-03
36.81,-.1160259E-03
36.82,-.1126498E-03
36.83,-.1073012E-03
36.84,-.1039146E-03
36.85,-.1119432E-03
36.86,-.1459395E-03
36.87,-.2002256E-03
36.88,-.2578025E-03
36.89,-.3025886E-03
36.9,-.3182507E-03
36.91,-.3064444E-03
36.92,-.2782717E-03
36.93,-.2466525E-03
36.94,-.2208132E-03
36.95,-.2089668E-03
36.96,-.2654638E-03
36.97,-.4117769E-03
36.98,-.5875201E-03
36.99,-.7013338E-03
37,-.7311580E-03
37.01,-.7227423E-03
37.02,-.7264276E-03
37.03,-.7288563E-03
37.04,-.6819866E-03
37.05,-.5850914E-03
37.06,-.4703190E-03
37.07,-.3643269E-03
37.08,-.2735511E-03
37.09,-.1898801E-03
37.1,-.1332010E-03
37.11,-.1662563E-03
37.12,-.2837325E-03
37.13,-.4171024E-03
37.14,-.4989461E-03
37.15,-.5228087E-03
37.16,-.5263143E-03
37.17,-.5427598E-03
37.18,-.5670962E-03
37.19,-.5831956E-03
37.2,-.5874412E-03
37.21,-.5853526E-03
37.22,-.5831336E-03
37.23,-.5780992E-03
37.24,-.5578493E-03
37.25,-.5217634E-03
37.26,-.4799460E-03
37.27,-.4416271E-03
37.28,-.4092239E-03
37.29,-.3859133E-03
37.3,-.3792909E-03
37.31,-.3846790E-03
37.32,-.3924477E-03
37.33,-.4087518E-03
37.34,-.4417259E-03
37.35,-.4542186E-03
37.36,-.3763296E-03
37.37,-.2170861E-03
37.38,-.4159797E-04
37.39,.9520688E-04
37.4,.1821061E-03
37.41,.1792726E-03
37.42,.5863242E-04
37.43,-.1234805E-03
37.44,-.2865214E-03
37.45,-.3935820E-03
37.46,-.4635671E-03
37.47,-.5188653E-03
37.48,-.5267314E-03
37.49,-.4762209E-03
37.5,-.4007653E-03
37.51,-.3224870E-03
37.52,-.2227214E-03
37.53,-.9410129E-04
37.54,.4901998E-04
37.55,.1799294E-03
37.56,.2832665E-03
37.57,.3679885E-03
37.58,.4406671E-03
37.59,.5015965E-03
37.6,.5571949E-03
37.61,.6003135E-03
37.62,.5946061E-03
37.63,.5366285E-03
37.64,.4588001E-03
37.65,.3951240E-03
37.66,.3577629E-03
37.67,.3331003E-03
37.68,.2980686E-03
37.69,.2436392E-03
37.7,.1770781E-03
37.71,.1102192E-03
37.72,.4977627E-04
37.73,-.4555430E-05
37.74,-.5684268E-04
37.75,-.1092984E-03
37.76,-.1298860E-03
37.77,-.7073003E-04
37.78,.5106054E-04
37.79,.1830912E-03
37.8,.2517202E-03
37.81,.1838081E-03
37.82,.1573870E-04
37.83,-.1624758E-03
37.84,-.2747802E-03
37.85,-.2314453E-03
37.86,-.3800075E-04
37.87,.1989237E-03
37.88,.3595708E-03
37.89,.4006916E-03
37.9,.3766770E-03
37.91,.3619394E-03
37.92,.3571147E-03
37.93,.3120117E-03
37.94,.2189757E-03
37.95,.1108321E-03
37.96,.2013497E-04
37.97,-.4838605E-04
37.98,-.1079910E-03
37.99,-.1628341E-03
38,-.2109304E-03
38.01,-.2554092E-03
38.02,-.3005444E-03
38.03,-.3328449E-03
38.04,-.3229599E-03
38.05,-.2752598E-03
38.06,-.2095714E-03
38.07,-.1405836E-03
38.08,-.7663626E-04
38.09,-.1816031E-04
38.1,.3736752E-04
38.11,.8743553E-04
38.12,.1256063E-03
38.13,.1044609E-03
38.14,.4513073E-05
38.15,-.1339219E-03
38.16,-.2592938E-03
38.17,-.3413314E-03
38.18,-.3884961E-03
38.19,-.4127711E-03
38.2,-.3965454E-03
38.21,-.3460978E-03
38.22,-.2884716E-03
38.23,-.2447961E-03
38.24,-.2348987E-03
38.25,-.2641593E-03
38.26,-.3103232E-03
38.27,-.3464734E-03
38.28,-.3384113E-03
38.29,-.2656652E-03
38.3,-.1557603E-03
38.31,-.5198067E-04
38.32,.8453903E-05
38.33,.2100650E-04
38.34,.1493984E-04
38.35,.2095990E-04
38.36,.5591350E-04
38.37,.1170139E-03
38.38,.1858300E-03
38.39,.2420598E-03
38.4,.2370556E-03
38.41,.1400546E-03
38.42,-.1023203E-04
38.43,-.1632330E-03
38.44,-.3131087E-03
38.45,-.3919203E-03
38.46,-.2865568E-03
38.47,-.3570838E-04
38.48,.2273978E-03
38.49,.3962944E-03
38.5,.4665226E-03
38.51,.4675581E-03
38.52,.4357672E-03
38.53,.4132713E-03
38.54,.4180790E-03
38.55,.4127425E-03
38.56,.3368527E-03
38.57,.1949353E-03
38.58,.6854498E-04
38.59,.4680204E-04
38.6,.1178685E-03
38.61,.2108666E-03
38.62,.2713783E-03
38.63,.2893867E-03
38.64,.2682040E-03
38.65,.2209862E-03
38.66,.1709975E-03
38.67,.1006799E-03
38.68,-.3828372E-04
38.69,-.2372176E-03
38.7,-.4359389E-03
38.71,-.5668323E-03
38.72,-.6295708E-03
38.73,-.6718659E-03
38.74,-.7278836E-03
38.75,-.7271209E-03
38.76,-.5889039E-03
38.77,-.3515900E-03
38.78,-.1270923E-03
38.79,.9980849E-05
38.8,.7724951E-04
38.81,.1345560E-03
38.82,.1957873E-03
38.83,.2017291E-03
38.84,.1379475E-03
38.85,.4325701E-04
38.86,-.4136027E-04
38.87,-.1022094E-03
38.88,-.1499001E-03
38.89,-.2011410E-03
38.9,-.2644150E-03
38.91,-.3375239E-03
38.92,-.4132649E-03
38.93,-.4842081E-03
38.94,-.5300072E-03
38.95,-.5370471E-03
38.96,-.5211181E-03
38.97,-.5065929E-03
38.98,-.5056604E-03
38.99,-.5098800E-03
39,-.4978018E-03
39.01,-.4639996E-03
39.02,-.4194254E-03
39.03,-.3768503E-03
39.04,-.3413104E-03
39.05,-.3077130E-03
39.06,-.2681962E-03
39.07,-.2215192E-03
39.08,-.1715686E-03
39.09,-.1208203E-03
39.1,-.6720214E-04
39.11,-.1027583E-04
39.12,.5227144E-04
39.13,.1572342E-03
39.14,.3181112E-03
39.15,.3726735E-03
39.16,.1358573E-03
39.17,-.2734338E-03
39.18,-.5654285E-03
39.19,-.6287310E-03
39.2,-.4668894E-03
39.21,-.1441740E-03
39.22,.1950011E-03
39.23,.4008981E-03
39.24,.4508039E-03
39.25,.4400756E-03
39.26,.4355816E-03
39.27,.3119796E-03
39.28,.1090854E-05
39.29,-.3366162E-03
39.3,-.5348771E-03
39.31,-.5931512E-03
39.32,-.5683885E-03
39.33,-.4838371E-03
39.34,-.3814777E-03
39.35,-.2982365E-03
39.36,-.2405506E-03
39.37,-.1940197E-03
39.38,-.1427376E-03
39.39,-.7839514E-04
39.4,-.2947204E-05
39.41,.7604426E-04
39.42,.1491233E-03
39.43,.1902965E-03
39.44,.1904300E-03
39.45,.1378474E-03
39.46,-.4036700E-05
39.47,-.1748634E-03
39.48,-.2221503E-03
39.49,-.1080241E-03
39.5,.7806678E-04
39.51,.2280829E-03
39.52,.2779942E-03
39.53,.2473071E-03
39.54,.2022530E-03
39.55,.1915165E-03
39.56,.2206304E-03
39.57,.2649051E-03
39.58,.2941416E-03
39.59,.2978067E-03
39.6,.2859644E-03
39.61,.2739247E-03
39.62,.2700900E-03
39.63,.2736904E-03
39.64,.2794024E-03
39.65,.2827981E-03
39.66,.2737222E-03
39.67,.1803436E-03
39.68,-.2791611E-04
39.69,-.2787640E-03
39.7,-.4509158E-03
39.71,-.5074834E-03
39.72,-.5087683E-03
39.73,-.5334679E-03
39.74,-.6071217E-03
39.75,-.6454423E-03
39.76,-.5598613E-03
39.77,-.3747426E-03
39.78,-.1927571E-03
39.79,-.1119445E-03
39.8,-.1258802E-03
39.81,-.1661067E-03
39.82,-.2078665E-03
39.83,-.2807120E-03
39.84,-.3463169E-03
39.85,-.3607465E-03
39.86,-.3317363E-03
39.87,-.2696081E-03
39.88,-.1829619E-03
39.89,-.9789165E-04
39.9,-.4080841E-04
39.91,-.9191696E-05
39.92,.1731220E-04
39.93,.6144872E-04
39.94,.1434963E-03
39.95,.2566203E-03
39.96,.3635959E-03
39.97,.4120336E-03
39.98,.3987912E-03
39.99,.3636767E-03
40,.3445764E-03
40.01,.3584236E-03
40.02,.3974615E-03
40.03,.4402237E-03
40.04,.4712735E-03
40.05,.4921678E-03
40.06,.5172683E-03
40.07,.5535032E-03
40.08,.5943459E-03
40.09,.6314429E-03
40.1,.6639515E-03
40.11,.7036472E-03
40.12,.7593469E-03
40.13,.8244497E-03
40.14,.8563041E-03
40.15,.8032020E-03
40.16,.6839765E-03
40.17,.5466158E-03
40.18,.4078890E-03
40.19,.2685413E-03
40.2,.1393187E-03
40.21,.1119912E-03
40.22,.2268458E-03
40.23,.3943191E-03
40.24,.4925098E-03
40.25,.4943488E-03
40.26,.4525514E-03
40.27,.4209053E-03
40.28,.3883663E-03
40.29,.3310714E-03
40.3,.2520455E-03
40.31,.1671325E-03
40.32,.9713443E-04
40.33,.9112655E-04
40.34,.1591289E-03
40.35,.2572431E-03
40.36,.3401406E-03
40.37,.3849961E-03
40.38,.3746330E-03
40.39,.3235688E-03
40.4,.2685505E-03
40.41,.2398391E-03
40.42,.2457762E-03
40.43,.2687397E-03
40.44,.2862850E-03
40.45,.2886603E-03
40.46,.2923951E-03
40.47,.3343649E-03
40.48,.4164459E-03
40.49,.4974726E-03
40.5,.5435186E-03
40.51,.5579903E-03
40.52,.5433524E-03
40.53,.4875031E-03
40.54,.4051707E-03
40.55,.3228835E-03
40.56,.2732094E-03
40.57,.3031356E-03
40.58,.4036120E-03
40.59,.5212378E-03
40.6,.6144305E-03
40.61,.6779912E-03
40.62,.7304998E-03
40.63,.7891012E-03
40.64,.8115709E-03
40.65,.7237172E-03
40.66,.5466774E-03
40.67,.3564899E-03
40.68,.2035284E-03
40.69,.8826748E-04
40.7,.8033898E-06
40.71,-.3561528E-04
40.72,-.2559160E-04
40.73,-.4030774E-05
40.74,.1557860E-05
40.75,-.1199321E-04
40.76,-.3712157E-04
40.77,-.1096764E-03
40.78,-.2555405E-03
40.79,-.4425982E-03
40.8,-.6024210E-03
40.81,-.6062106E-03
40.82,-.4286421E-03
40.83,-.1767261E-03
40.84,.3830221E-04
40.85,.1741440E-03
40.86,.2085205E-03
40.87,.1656157E-03
40.88,.1123727E-03
40.89,.9581965E-04
40.9,.1111866E-03
40.91,.1227312E-03
40.92,.1092048E-03
40.93,.8887688E-04
40.94,.1102911E-03
40.95,.1817442E-03
40.96,.2737420E-03
40.97,.3548208E-03
40.98,.4030015E-03
40.99,.4209729E-03
41,.4208353E-03
41.01,.3123774E-03
41.02,.1041741E-04
41.03,-.3934078E-03
41.04,-.7122916E-03
41.05,-.8769834E-03
41.06,-.9044537E-03
41.07,-.7786589E-03
41.08,-.5600267E-03
41.09,-.3466568E-03
41.1,-.1917867E-03
41.11,-.8427614E-04
41.12,.1578253E-04
41.13,.7295682E-04
41.14,-.4550446E-05
41.15,-.1950806E-03
41.16,-.4094020E-03
41.17,-.5905635E-03
41.18,-.7360348E-03
41.19,-.7909191E-03
41.2,-.6614653E-03
41.21,-.3980192E-03
41.22,-.1393332E-03
41.23,-.4400993E-04
41.24,-.1336315E-03
41.25,-.2937082E-03
41.26,-.4089699E-03
41.27,-.4438316E-03
41.28,-.4324866E-03
41.29,-.4208594E-03
41.3,-.4215403E-03
41.31,-.4300135E-03
41.32,-.4401872E-03
41.33,-.4479163E-03
41.34,-.4515487E-03
41.35,-.4479341E-03
41.36,-.4333328E-03
41.37,-.4114496E-03
41.38,-.3891498E-03
41.39,-.3704073E-03
41.4,-.3532192E-03
41.41,-.3270198E-03
41.42,-.2872795E-03
41.43,-.2402070E-03
41.44,-.1940271E-03
41.45,-.1491016E-03
41.46,-.9510742E-04
41.47,-.2861676E-04
41.48,.4415533E-04
41.49,.1155243E-03
41.5,.1801634E-03
41.51,.2380771E-03
41.52,.2924885E-03
41.53,.3168038E-03
41.54,.2685572E-03
41.55,.1636886E-03
41.56,.4955021E-04
41.57,-.3932463E-04
41.58,-.7166450E-04
41.59,-.3946224E-04
41.6,.2096239E-04
41.61,.6719430E-04
41.62,.7005929E-04
41.63,.3137530E-04
41.64,-.1993371E-04
41.65,-.5784615E-04
41.66,-.7331238E-04
41.67,-.6838368E-04
41.68,-.5347182E-04
41.69,-.3522453E-04
41.7,-.1721639E-04
41.71,-.1380930E-05
41.72,.1281528E-04
41.73,.2608051E-04
41.74,.2337420E-04
41.75,-.1295154E-04
41.76,-.7326095E-04
41.77,-.1353033E-03
41.78,-.1754296E-03
41.79,-.1796151E-03
41.8,-.1536283E-03
41.81,-.9238960E-04
41.82,-.3533883E-05
41.83,.8915782E-04
41.84,.1365879E-03
41.85,.9094723E-04
41.86,-.2038068E-04
41.87,-.1361327E-03
41.88,-.2101727E-03
41.89,-.2281840E-03
41.9,-.2174451E-03
41.91,-.2141313E-03
41.92,-.2165526E-03
41.93,-.1782178E-03
41.94,-.8816481E-04
41.95,.2512058E-04
41.96,.1303351E-03
41.97,.2168169E-03
41.98,.2844358E-03
41.99,.2707940E-03
42,.1364606E-03
42.01,-.6340500E-04
42.02,-.2265626E-03
42.03,-.2813302E-03
42.04,-.2554562E-03
42.05,-.2173444E-03
42.06,-.1795243E-03
42.07,-.1270094E-03
42.08,-.6024988E-04
42.09,.9395127E-05
42.1,.5778083E-04
42.11,.7659613E-04
42.12,.8222710E-04
42.13,.9358240E-04
42.14,.1126006E-03
42.15,.1273560E-03
42.16,.1321563E-03
42.17,.1300321E-03
42.18,.1261129E-03
42.19,.1186607E-03
42.2,.1045971E-03
42.21,.8606912E-04
42.22,.6719007E-04
42.23,.5024994E-04
42.24,.3262142E-04
42.25,-.8584938E-05
42.26,-.8762575E-04
42.27,-.1886966E-03
42.28,-.2719740E-03
42.29,-.2901548E-03
42.3,-.2502769E-03
42.31,-.1960650E-03
42.32,-.1618907E-03
42.33,-.1658008E-03
42.34,-.2375492E-03
42.35,-.3682550E-03
42.36,-.4878889E-03
42.37,-.5144141E-03
42.38,-.4548570E-03
42.39,-.3719204E-03
42.4,-.3046160E-03
42.41,-.2550223E-03
42.42,-.2240838E-03
42.43,-.2033936E-03
42.44,-.1797692E-03
42.45,-.1462310E-03
42.46,-.1059577E-03
42.47,-.7645821E-04
42.48,-.6947049E-04
42.49,-.7763402E-04
42.5,-.8600782E-04
42.51,-.6637359E-04
42.52,.9031337E-05
42.53,.1237917E-03
42.54,.2300364E-03
42.55,.2799205E-03
42.56,.2774367E-03
42.57,.2609492E-03
42.58,.2619474E-03
42.59,.2839857E-03
42.6,.2925807E-03
42.61,.2594802E-03
42.62,.1944898E-03
42.63,.1195250E-03
42.64,.3091632E-04
42.65,-.7688110E-04
42.66,-.1940609E-03
42.67,-.2848313E-03
42.68,-.3100019E-03
42.69,-.2844381E-03
42.7,-.2407145E-03
42.71,-.2004427E-03
42.72,-.1716972E-03
42.73,-.1502967E-03
42.74,-.1274553E-03
42.75,-.7498649E-04
42.76,.8588718E-04
42.77,.3645819E-03
42.78,.6671669E-03
42.79,.8481821E-03
42.8,.8583446E-03
42.81,.7047847E-03
42.82,.4591022E-03
42.83,.2323726E-03
42.84,.9875652E-04
42.85,.4121301E-04
42.86,.3623914E-07
42.87,-.2339411E-04
42.88,-.3858082E-05
42.89,.4600824E-04
42.9,.9837537E-04
42.91,.1484572E-03
42.92,.2218237E-03
42.93,.3200441E-03
42.94,.3393414E-03
42.95,.1663587E-03
42.96,-.1213710E-03
42.97,-.3215729E-03
42.98,-.3518350E-03
42.99,-.2832337E-03
43,-.2130703E-03
43.01,-.1652221E-03
43.02,-.1266259E-03
43.03,-.9212827E-04
43.04,-.7850346E-04
43.05,-.8730645E-04
43.06,-.1019450E-03
43.07,-.1077667E-03
43.08,-.1024192E-03
43.09,-.9288181E-04
43.1,-.9392841E-04
43.11,-.1188333E-03
43.12,-.1616898E-03
43.13,-.2072987E-03
43.14,-.2455855E-03
43.15,-.2728407E-03
43.16,-.2588331E-03
43.17,-.1794526E-03
43.18,-.6075993E-04
43.19,.5564596E-04
43.2,.1349036E-03
43.21,.1560970E-03
43.22,.1420728E-03
43.23,.1308834E-03
43.24,.1426431E-03
43.25,.1731027E-03
43.26,.2047827E-03
43.27,.2205177E-03
43.28,.2183467E-03
43.29,.2084568E-03
43.3,.2013664E-03
43.31,.1998136E-03
43.32,.1913205E-03
43.33,.1654129E-03
43.34,.1270425E-03
43.35,.8721663E-04
43.36,.5265289E-04
43.37,.2350345E-04
43.38,-.3932075E-06
43.39,-.1930045E-04
43.4,-.3648115E-04
43.41,-.5513678E-04
43.42,-.7632471E-04
43.43,-.1026213E-03
43.44,-.1365732E-03
43.45,-.1750572E-03
43.46,-.2131124E-03
43.47,-.2482979E-03
43.48,-.2777226E-03
43.49,-.2742987E-03
43.5,-.2264444E-03
43.51,-.1567737E-03
43.52,-.9258131E-04
43.53,-.4344026E-04
43.54,-.2853854E-05
43.55,.3950220E-04
43.56,.8906802E-04
43.57,.1447405E-03
43.58,.1915514E-03
43.59,.2023097E-03
43.6,.1786673E-03
43.61,.1446203E-03
43.62,.1202100E-03
43.63,.1094061E-03
43.64,.1061866E-03
43.65,.1070865E-03
43.66,.1093744E-03
43.67,.1101342E-03
43.68,.1084963E-03
43.69,.1059112E-03
43.7,.1091068E-03
43.71,.1259763E-03
43.72,.1534280E-03
43.73,.1826551E-03
43.74,.2047846E-03
43.75,.2116070E-03
43.76,.2059332E-03
43.77,.1995911E-03
43.78,.2181174E-03
43.79,.2770319E-03
43.8,.3601140E-03
43.81,.4417085E-03
43.82,.5079812E-03
43.83,.5593554E-03
43.84,.6054188E-03
43.85,.6557001E-03
43.86,.7132976E-03
43.87,.7693040E-03
43.88,.7696967E-03
43.89,.6898035E-03
43.9,.5680197E-03
43.91,.4539289E-03
43.92,.3729839E-03
43.93,.3256479E-03
43.94,.2911106E-03
43.95,.2477118E-03
43.96,.1882452E-03
43.97,.1312539E-03
43.98,.1200413E-03
43.99,.1614541E-03
44,.2246701E-03
44.01,.2784379E-03
44.02,.3005879E-03
44.03,.2402391E-03
44.04,.9212413E-04
44.05,-.8817263E-04
44.06,-.2365045E-03
44.07,-.3146545E-03
44.08,-.3428764E-03
44.09,-.3679591E-03
44.1,-.4157018E-03
44.11,-.4422050E-03
44.12,-.3942076E-03
44.13,-.2857285E-03
44.14,-.1646505E-03
44.15,-.6423683E-04
44.16,.1499925E-05
44.17,.1736751E-04
44.18,-.2397092E-05
44.19,-.2487278E-04
44.2,-.2919719E-04
44.21,-.1640104E-04
44.22,.4712359E-06
44.23,.1026880E-04
44.24,.1042035E-04
44.25,.1596538E-05
44.26,-.1849526E-04
44.27,-.4602581E-04
44.28,-.7367833E-04
44.29,-.9560711E-04
44.3,-.1044459E-03
44.31,-.1007192E-03
44.32,-.9326874E-04
44.33,-.8978061E-04
44.34,-.9184041E-04
44.35,-.9641607E-04
44.36,-.9989012E-04
44.37,-.1007136E-03
44.38,-.9956829E-04
44.39,-.9690218E-04
44.4,-.8347914E-04
44.41,-.5314214E-04
44.42,-.1343423E-04
44.43,.2158003E-04
44.44,.4473235E-04
44.45,.6010731E-04
44.46,.7555768E-04
44.47,.9223596E-04
44.48,.1021634E-03
44.49,.1031519E-03
44.5,.9993114E-04
44.51,.9093068E-04
44.52,.5958240E-04
44.53,.4120063E-05
44.54,-.6107545E-04
44.55,-.1327865E-03
44.56,-.2220377E-03
44.57,-.3193621E-03
44.58,-.4049691E-03
44.59,-.4717928E-03
44.6,-.5038422E-03
44.61,-.4998289E-03
44.62,-.4826505E-03
44.63,-.4679531E-03
44.64,-.4400390E-03
44.65,-.3878812E-03
44.66,-.3287442E-03
44.67,-.3449823E-03
44.68,-.4725762E-03
44.69,-.6389537E-03
44.7,-.7580127E-03
44.71,-.8036321E-03
44.72,-.7326843E-03
44.73,-.5376435E-03
44.74,-.2945687E-03
44.75,-.8614933E-04
44.76,.6331263E-04
44.77,.1701509E-03
44.78,.2300982E-03
44.79,.2531442E-03
44.8,.2445455E-03
44.81,.1881713E-03
44.82,.9817229E-04
44.83,.4788375E-05
44.84,-.6953439E-04
44.85,-.1246966E-03
44.86,-.1665935E-03
44.87,-.1764105E-03
44.88,-.1511504E-03
44.89,-.1127481E-03
44.9,-.8246268E-04
44.91,-.6765790E-04
44.92,-.6203337E-04
44.93,-.5483389E-04
44.94,-.4013547E-04
44.95,-.1904306E-04
44.96,.1088747E-05
44.97,.1040597E-04
44.98,.8642288E-05
44.99,.2019907E-05
45,-.1137715E-04
45.01,-.3496551E-04
45.02,-.6453528E-04
45.03,-.8249960E-04
45.04,-.4654902E-04
45.05,.4900000E-04
45.06,.1657093E-03
45.07,.2484991E-03
45.08,.2713619E-03
45.09,.2586161E-03
45.1,.2490446E-03
45.11,.2609699E-03
45.12,.2648479E-03
45.13,.2180798E-03
45.14,.1251826E-03
45.15,.1917635E-04
45.16,-.6946993E-04
45.17,-.9493658E-04
45.18,-.4205781E-04
45.19,.4732483E-04
45.2,.1233108E-03
45.21,.1580888E-03
45.22,.1574961E-03
45.23,.1491761E-03
45.24,.1552681E-03
45.25,.1788354E-03
45.26,.2040904E-03
45.27,.2161723E-03
45.28,.2266140E-03
45.29,.2660385E-03
45.3,.3365710E-03
45.31,.4179510E-03
45.32,.4895760E-03
45.33,.5266537E-03
45.34,.5229435E-03
45.35,.5013390E-03
45.36,.4872292E-03
45.37,.4784157E-03
45.38,.4136723E-03
45.39,.2660594E-03
45.4,.9380417E-04
45.41,-.2444721E-04
45.42,-.7373098E-04
45.43,-.4471250E-04
45.44,.7495566E-04
45.45,.2408257E-03
45.46,.3961697E-03
45.47,.5016496E-03
45.48,.4909278E-03
45.49,.3638307E-03
45.5,.1992133E-03
45.51,.7738563E-04
45.52,.5904086E-04
45.53,.1313115E-03
45.54,.2238619E-03
45.55,.2727367E-03
45.56,.2623015E-03
45.57,.2227635E-03
45.58,.1916786E-03
45.59,.1856719E-03
45.6,.1911490E-03
45.61,.1675538E-03
45.62,.9975571E-04
45.63,.8111024E-05
45.64,-.7723445E-04
45.65,-.1277742E-03
45.66,-.1425158E-03
45.67,-.1451537E-03
45.68,-.1537418E-03
45.69,-.1551234E-03
45.7,-.1360905E-03
45.71,-.1026611E-03
45.72,-.7245364E-04
45.73,-.5712349E-04
45.74,-.5292647E-04
45.75,-.4959760E-04
45.76,-.4049077E-04
45.77,-.2562587E-04
45.78,-.8852273E-05
45.79,.6276063E-05
45.8,.1369415E-04
45.81,.5113692E-05
45.82,-.1553620E-04
45.83,-.3785425E-04
45.84,-.5501138E-04
45.85,-.6591789E-04
45.86,-.7720121E-04
45.87,-.9456784E-04
45.88,-.1205828E-03
45.89,-.1511667E-03
45.9,-.1784627E-03
45.91,-.1910986E-03
45.92,-.1883668E-03
45.93,-.1801162E-03
45.94,-.1755911E-03
45.95,-.1772766E-03
45.96,-.1821656E-03
45.97,-.1861692E-03
45.98,-.1873120E-03
45.99,-.1845808E-03
46,-.1741830E-03
46.01,-.1565014E-03
46.02,-.1365976E-03
46.03,-.1188149E-03
46.04,-.1040254E-03
46.05,-.9206449E-04
46.06,-.9339351E-04
46.07,-.1127089E-03
46.08,-.1407803E-03
46.09,-.1664363E-03
46.1,-.1839289E-03
46.11,-.1888389E-03
46.12,-.1836584E-03
46.13,-.1772867E-03
46.14,-.1814578E-03
46.15,-.2011877E-03
46.16,-.2293692E-03
46.17,-.2560285E-03
46.18,-.2757907E-03
46.19,-.2839180E-03
46.2,-.2806631E-03
46.21,-.2734903E-03
46.22,-.2708802E-03
46.23,-.2879098E-03
46.24,-.3301868E-03
46.25,-.3845743E-03
46.26,-.4350675E-03
46.27,-.4551288E-03
46.28,-.3936639E-03
46.29,-.2571507E-03
46.3,-.1118165E-03
46.31,-.1231751E-04
46.32,.4130486E-04
46.33,.7884248E-04
46.34,.1053172E-03
46.35,.1134340E-03
46.36,.1103944E-03
46.37,.9307244E-04
46.38,.3362905E-04
46.39,-.6647839E-04
46.4,-.1797473E-03
46.41,-.2576444E-03
46.42,-.2394246E-03
46.43,-.1399929E-03
46.44,-.2357411E-04
46.45,.5900194E-04
46.46,.8704451E-04
46.47,.7822474E-04
46.48,.6833011E-04
46.49,.7923470E-04
46.5,.1015120E-03
46.51,.1093654E-03
46.52,.9525924E-04
46.53,.6919997E-04
46.54,.4393068E-04
46.55,.2301992E-04
46.56,-.1213999E-05
46.57,-.3335766E-04
46.58,-.7078933E-04
46.59,-.1086287E-03
46.6,-.1440882E-03
46.61,-.1773197E-03
46.62,-.2099122E-03
46.63,-.2431417E-03
46.64,-.2772448E-03
46.65,-.3079208E-03
46.66,-.2826575E-03
46.67,-.1458210E-03
46.68,.6833814E-04
46.69,.2557843E-03
46.7,.3144852E-03
46.71,.2629793E-03
46.72,.1791021E-03
46.73,.5271415E-04
46.74,-.1335084E-03
46.75,-.2821127E-03
46.76,-.3103534E-03
46.77,-.2499269E-03
46.78,-.1698252E-03
46.79,-.1151366E-03
46.8,-.9351694E-04
46.81,-.8647428E-04
46.82,-.7362134E-04
46.83,-.5676721E-04
46.84,-.4670970E-04
46.85,-.4470091E-04
46.86,-.4503638E-04
46.87,-.3449325E-04
46.88,-.2783930E-05
46.89,.4272141E-04
46.9,.8803496E-04
46.91,.1252902E-03
46.92,.1549213E-03
46.93,.1816093E-03
46.94,.2097337E-03
46.95,.2391482E-03
46.96,.2678307E-03
46.97,.2918068E-03
46.98,.2773875E-03
46.99,.1978476E-03
47,.7788316E-04
47.01,-.3694400E-04
47.02,-.1052493E-03
