delta t (sec),Ground Acceleration (in G)
2.53,-.1600523E-01
2.54,-.1518314E-01
2.55,-.2213246E-01
2.56,-.2960752E-01
2.57,-.3088928E-01
2.58,-.2738314E-01
2.59,-.2120884E-01
2.6,-.1106275E-01
2.61,.1896588E-02
2.62,.1504760E-01
2.63,.2310673E-01
2.64,.1805796E-01
2.65,.2033526E-02
2.66,-.1623868E-01
2.67,-.3050759E-01
2.68,-.4032662E-01
2.69,-.4879678E-01
2.7,-.5888282E-01
2.71,-.7141136E-01
2.72,-.7809025E-01
2.73,-.4235668E-01
2.74,.3884615E-01
2.75,.9905220E-01
2.76,.9572862E-01
2.77,.4883345E-01
2.78,-.1416095E-03
2.79,-.2703363E-01
2.8,-.3381834E-01
2.81,-.3571258E-01
2.82,-.4519410E-01
2.83,-.5755312E-01
2.84,-.5194680E-01
2.85,-.2477801E-01
2.86,.3635513E-02
2.87,.9835845E-02
2.88,-.4888089E-02
2.89,-.1870583E-01
2.9,-.1393412E-01
2.91,.6947350E-02
2.92,.2573066E-01
2.93,.2670410E-01
2.94,.1204127E-01
2.95,-.5972245E-02
2.96,-.1387545E-01
2.97,-.9055488E-02
2.98,-.4230550E-02
2.99,-.1003652E-01
3,-.2539501E-01
3.01,-.4010422E-01
3.02,-.3321948E-01
3.03,.2419832E-03
3.04,.3593688E-01
3.05,.4455489E-01
3.06,.2604087E-01
3.07,-.5465769E-03
3.08,-.1496939E-01
3.09,-.8026728E-02
3.1,.1193458E-01
3.11,.3085623E-01
3.12,.3864343E-01
3.13,.3456026E-01
3.14,.2548528E-01
3.15,.1826233E-01
3.16,.1359569E-01
3.17,.9471676E-02
3.18,.4340206E-02
3.19,-.1106601E-02
3.2,-.2201651E-02
3.21,.3035864E-03
3.22,.1582315E-02
3.23,.2029486E-02
3.24,.2565003E-02
3.25,.1851937E-02
3.26,-.7399811E-03
3.27,.5371298E-03
3.28,.1571802E-01
3.29,.3883287E-01
3.3,.4991423E-01
3.31,.4212981E-01
3.32,.2467579E-01
3.33,.9270642E-02
3.34,.8559397E-03
3.35,-.2740300E-02
3.36,-.5558576E-02
3.37,-.4864205E-02
3.38,.2681438E-02
3.39,.1452788E-01
3.4,.2403617E-01
3.41,.2294574E-01
3.42,.1182345E-01
3.43,-.2014684E-02
3.44,-.1258097E-01
3.45,-.1705527E-01
3.46,-.1309029E-01
3.47,-.3441752E-02
3.48,.6345401E-02
3.49,.1197694E-01
3.5,.1024992E-01
3.51,.2878330E-02
3.52,-.4975182E-02
3.53,-.7904744E-02
3.54,-.5396162E-02
3.55,-.1927543E-02
3.56,-.1700433E-02
3.57,-.4142283E-02
3.58,-.3558802E-02
3.59,.2754156E-02
3.6,.1078343E-01
3.61,.1362785E-01
3.62,.1342459E-01
3.63,.1576493E-01
3.64,.1718408E-01
3.65,.1351537E-01
3.66,.5836438E-02
3.67,-.2526521E-02
3.68,-.9429526E-02
3.69,-.1484513E-01
3.7,-.1893980E-01
3.71,-.1938467E-01
3.72,-.1542543E-01
3.73,-.9291497E-02
3.74,-.6648698E-02
3.75,-.8128924E-02
3.76,-.1105040E-01
3.77,-.1320076E-01
3.78,-.1537195E-01
3.79,-.1546977E-01
3.8,-.9687348E-02
3.81,.3378878E-03
3.82,.8861698E-02
3.83,.9556693E-02
3.84,.3135147E-02
3.85,-.5072756E-02
3.86,-.9361655E-02
3.87,-.7518152E-02
3.88,-.4748160E-02
3.89,-.5349958E-02
3.9,-.9248238E-02
3.91,-.1431491E-01
3.92,-.1814787E-01
3.93,-.1549020E-01
3.94,-.4511833E-02
3.95,.7445873E-02
3.96,.1495360E-01
3.97,.1860242E-01
3.98,.1732666E-01
3.99,.1147241E-01
4,.4745064E-02
4.01,-.2726866E-03
4.02,-.5345784E-02
4.03,-.1257809E-01
4.04,-.1985630E-01
4.05,-.2048631E-01
4.06,-.1335319E-01
4.07,-.3545931E-02
4.08,.2825330E-02
4.09,.3215138E-02
4.1,-.5244395E-03
4.11,-.6232661E-02
4.12,-.1100942E-01
4.13,-.8091961E-02
4.14,.3257241E-02
4.15,.1716788E-01
4.16,.2464537E-01
4.17,.2296914E-01
4.18,.1887113E-01
4.19,.1739000E-01
4.2,.1729947E-01
4.21,.1536258E-01
4.22,.1061373E-01
4.23,.4295663E-02
4.24,-.2028586E-02
4.25,-.7490459E-02
4.26,-.9975344E-02
4.27,-.7690969E-02
4.28,-.3669250E-02
4.29,-.1574500E-02
4.3,-.3215586E-03
4.31,.1865200E-02
4.32,.3590616E-02
4.33,.3647001E-02
4.34,.2678914E-02
4.35,.2337847E-02
4.36,.3110269E-02
4.37,.3966913E-02
4.38,.5706026E-02
4.39,.7223799E-02
4.4,.6949427E-02
4.41,.5467887E-02
4.42,.3331329E-02
4.43,.1408278E-02
4.44,.2158031E-03
4.45,.5423939E-03
4.46,.3769371E-02
4.47,.7500024E-02
4.48,.7910224E-02
4.49,.4826348E-02
4.5,.7428780E-03
4.51,-.7340913E-03
4.52,.2093169E-02
4.53,.7049554E-02
4.54,.1005520E-01
4.55,.8061281E-02
4.56,.1519657E-02
4.57,-.5203134E-02
4.58,-.8063291E-02
4.59,-.6471934E-02
4.6,-.2236771E-02
4.61,.2359698E-02
4.62,.5939406E-02
4.63,.7559967E-02
4.64,.5614383E-02
4.65,.8196985E-03
4.66,-.3810007E-02
4.67,-.4508547E-02
4.68,-.1065065E-02
4.69,.2116708E-02
4.7,.2222786E-02
4.71,-.1601500E-03
4.72,-.4692571E-02
4.73,-.8321018E-02
4.74,-.6679045E-02
4.75,-.9104797E-03
4.76,.6696603E-02
4.77,.1089453E-01
4.78,.7811817E-02
4.79,-.9522401E-04
4.8,-.5595554E-02
4.81,-.2585520E-02
4.82,.5075127E-02
4.83,.8775064E-02
4.84,.5856550E-02
4.85,-.4197226E-03
4.86,-.4754820E-02
4.87,-.4843660E-02
4.88,-.3086374E-02
4.89,-.1267728E-02
4.9,-.5488646E-03
4.91,-.1886502E-02
4.92,-.4398724E-02
4.93,-.6464356E-02
4.94,-.6456977E-02
4.95,-.3677885E-02
4.96,.7984742E-03
4.97,.4679174E-02
4.98,.5104066E-02
4.99,.1941107E-02
5,-.1367770E-02
5.01,-.2536453E-02
5.02,-.1904673E-02
5.03,-.1405832E-02
5.04,-.2554958E-02
5.05,-.5208868E-02
5.06,-.8251118E-02
5.07,-.9177427E-02
5.08,-.6538450E-02
5.09,-.2780248E-02
5.1,.1013628E-02
5.11,.5331781E-02
5.12,.9503492E-02
5.13,.9840146E-02
5.14,.5136684E-02
5.15,-.1853677E-02
5.16,-.7157642E-02
5.17,-.6776254E-02
5.18,-.2169964E-02
5.19,.1382457E-02
5.2,.1213048E-02
5.21,-.2633391E-05
5.22,.4712392E-03
5.23,.1750875E-02
5.24,.1393818E-02
5.25,-.2375870E-03
5.26,-.9136319E-03
5.27,-.5650629E-03
5.28,-.1826388E-03
5.29,.9468889E-04
5.3,.2073463E-03
5.31,.6730195E-03
5.32,.5931033E-03
5.33,-.1750741E-02
5.34,-.3449145E-02
5.35,-.2053312E-02
5.36,.7351697E-03
5.37,.7742531E-03
5.38,-.2970837E-02
5.39,-.8207323E-02
5.4,-.1029749E-01
5.41,-.7589823E-02
5.42,-.9217607E-03
5.43,.7255317E-02
5.44,.1094626E-01
5.45,.6329213E-02
5.46,-.3280871E-02
5.47,-.1099863E-01
5.48,-.1355146E-01
5.49,-.1153276E-01
5.5,-.7434638E-02
5.51,-.3751753E-02
5.52,-.1235380E-03
5.53,.1660086E-02
5.54,.6237598E-03
5.55,-.2748802E-03
5.56,.1820233E-02
5.57,.5915976E-02
5.58,.8518181E-02
5.59,.9209461E-02
5.6,.1055351E-01
5.61,.1305497E-01
5.62,.1529855E-01
5.63,.1505736E-01
5.64,.1183311E-01
5.65,.8115920E-02
5.66,.5534517E-02
5.67,.4249254E-02
5.68,.4116533E-02
5.69,.4509450E-02
5.7,.4828246E-02
5.71,.4644380E-02
5.72,.3447974E-02
5.73,.1016247E-02
5.74,-.1136952E-02
5.75,-.1852819E-02
5.76,-.4052314E-03
5.77,.2691058E-02
5.78,.5462242E-02
5.79,.5496215E-02
5.8,.2667934E-02
5.81,-.9474975E-03
5.82,-.1941753E-02
5.83,.1054593E-02
5.84,.5516933E-02
5.85,.8092752E-02
5.86,.7829607E-02
