delta t (sec),Ground Acceleration (in G)
11.1,-.9913450E-03
11.11,-.9846269E-03
11.12,.1296322E-03
11.13,.1946139E-02
11.14,.3271453E-02
11.15,.3058028E-02
11.16,.1385360E-02
11.17,-.1301777E-03
11.18,-.4368201E-04
11.19,.1430633E-02
11.2,.3105370E-02
11.21,.3962320E-02
11.22,.3711937E-02
11.23,.2787886E-02
11.24,.1729294E-02
11.25,.9514129E-03
11.26,.6457693E-03
11.27,.8198658E-03
11.28,.1446762E-02
11.29,.2259045E-02
11.3,.2898281E-02
11.31,.3131753E-02
11.32,.2966739E-02
11.33,.2588405E-02
11.34,.2119210E-02
11.35,.1425448E-02
11.36,.4562376E-03
11.37,-.3383916E-03
11.38,-.7393091E-03
11.39,-.7117080E-03
11.4,-.8209191E-05
11.41,.1171147E-02
11.42,.2246725E-02
11.43,.2775150E-02
11.44,.2471163E-02
11.45,.1562860E-02
11.46,.5958367E-03
11.47,-.8104894E-04
11.48,-.4278835E-03
11.49,-.2933668E-03
11.5,.4924218E-03
11.51,.1324135E-02
11.52,.1906265E-02
11.53,.2292491E-02
11.54,.2304898E-02
11.55,.1656682E-02
11.56,.3562106E-03
11.57,-.9248827E-03
11.58,-.1316555E-02
11.59,-.9905803E-03
11.6,-.6368886E-03
11.61,-.7870463E-03
11.62,-.1335424E-02
11.63,-.1315493E-02
11.64,-.3621716E-03
11.65,.9198881E-03
11.66,.1528182E-02
11.67,.7847306E-03
11.68,-.7471861E-03
11.69,-.1981730E-02
11.7,-.2042047E-02
11.71,-.9393772E-03
11.72,.8340642E-04
11.73,-.3397875E-04
11.74,-.1162434E-02
11.75,-.2306961E-02
11.76,-.2802591E-02
11.77,-.2688137E-02
11.78,-.2312796E-02
11.79,-.2000422E-02
11.8,-.1560481E-02
11.81,-.5978080E-03
11.82,.3972650E-03
11.83,.8372816E-03
11.84,.5627359E-03
11.85,-.9415212E-04
11.86,-.8399606E-03
11.87,-.1296504E-02
11.88,-.1183414E-02
11.89,-.7393828E-03
11.9,-.4956579E-03
11.91,-.7736601E-03
11.92,-.1654382E-02
11.93,-.2833762E-02
11.94,-.3853473E-02
11.95,-.4300328E-02
11.96,-.3777490E-02
11.97,-.2494379E-02
11.98,-.8746168E-03
11.99,.7638291E-03
12,.2217278E-02
12.01,.2975188E-02
12.02,.2301864E-02
12.03,.5175095E-03
12.04,-.1147401E-02
12.05,-.1317509E-02
12.06,.8437009E-04
12.07,.1122407E-02
12.08,.1033014E-02
12.09,.5145709E-03
12.1,.1268491E-03
12.11,-.2409578E-03
12.12,-.4702069E-03
12.13,-.2981370E-03
12.14,.2738684E-03
12.15,.1101663E-02
12.16,.2018329E-02
12.17,.2883837E-02
12.18,.3062035E-02
12.19,.2113429E-02
12.2,.5019446E-03
12.21,-.6803160E-03
12.22,-.8500730E-03
12.23,.6393520E-05
12.24,.1313264E-02
12.25,.2189274E-02
12.26,.2201466E-02
12.27,.1491944E-02
12.28,.6613523E-03
12.29,.6075385E-03
12.3,.1498072E-02
12.31,.2672772E-02
12.32,.3509655E-02
12.33,.3822429E-02
12.34,.3738406E-02
12.35,.3100800E-02
12.36,.2039734E-02
12.37,.1225150E-02
12.38,.9259221E-03
12.39,.9361492E-03
12.4,.1085312E-02
12.41,.1301230E-02
12.42,.1426095E-02
12.43,.1337812E-02
12.44,.9203889E-03
12.45,-.1980563E-04
12.46,-.1108328E-02
12.47,-.1492937E-02
12.48,-.1107721E-02
12.49,-.6792009E-03
12.5,-.3866132E-03
12.51,-.5732580E-04
12.52,.2077462E-03
12.53,.6296620E-04
12.54,-.6224452E-03
12.55,-.1240837E-02
12.56,-.1294911E-02
12.57,-.7484261E-03
12.58,.1125518E-03
12.59,.8825423E-03
12.6,.1190789E-02
12.61,.1060514E-02
12.62,.8831447E-03
12.63,.9727842E-03
12.64,.1285934E-02
12.65,.1329003E-02
12.66,.7363495E-03
12.67,-.3537159E-03
12.68,-.1274188E-02
12.69,-.1518789E-02
12.7,-.1260140E-02
12.71,-.9467560E-03
12.72,-.7873749E-03
12.73,-.7778238E-03
12.74,-.1066295E-02
12.75,-.1720506E-02
12.76,-.2288687E-02
12.77,-.2396952E-02
12.78,-.2083044E-02
12.79,-.1509485E-02
12.8,-.5693945E-03
12.81,.4341282E-03
12.82,.9054288E-03
12.83,.8002280E-03
12.84,.4014102E-03
12.85,-.2507359E-03
12.86,-.1235501E-02
12.87,-.2168139E-02
12.88,-.2382298E-02
12.89,-.1714526E-02
12.9,-.5372215E-03
12.91,.6093138E-03
12.92,.1456993E-02
12.93,.2005223E-02
12.94,.2235275E-02
12.95,.1893441E-02
12.96,.7249936E-03
12.97,-.9574999E-03
12.98,-.2147347E-02
12.99,-.1980926E-02
13,-.8439927E-03
13.01,.3367779E-03
13.02,.9225495E-03
13.03,.6756840E-03
13.04,-.3006715E-03
13.05,-.1579070E-02
13.06,-.2594996E-02
13.07,-.2809836E-02
13.08,-.2060088E-02
13.09,-.7603381E-03
13.1,.6007269E-03
13.11,.1749662E-02
13.12,.2286390E-02
13.13,.1620790E-02
13.14,.1349983E-03
13.15,-.1194467E-02
13.16,-.1393439E-02
13.17,-.4279192E-03
13.18,.9374696E-03
13.19,.1629262E-02
13.2,.1257430E-02
13.21,.3473777E-03
13.22,-.3900026E-03
13.23,-.4910305E-03
13.24,-.4860220E-04
13.25,.3373134E-03
13.26,.2232558E-03
13.27,-.2459061E-03
13.28,-.4983283E-03
13.29,-.2539288E-03
13.3,.2054861E-03
13.31,.3786836E-03
13.32,.1487811E-03
13.33,-.1465054E-03
13.34,.1476230E-03
13.35,.8649483E-03
13.36,.1142209E-02
13.37,.7550659E-03
13.38,.8579039E-04
13.39,-.3460282E-03
13.4,-.3095288E-03
13.41,.1541334E-04
13.42,.2970541E-03
13.43,.3145000E-03
13.44,.4713039E-04
13.45,-.4965617E-03
13.46,-.1161550E-02
13.47,-.1633061E-02
13.48,-.1562671E-02
13.49,-.8963784E-03
13.5,-.8718490E-04
13.51,.2285568E-03
13.52,-.4214041E-04
13.53,-.4917847E-04
13.54,.1067817E-02
13.55,.2583844E-02
13.56,.3297497E-02
13.57,.2719829E-02
13.58,.1309256E-02
13.59,-.1720647E-03
13.6,-.1208762E-02
13.61,-.1430583E-02
13.62,-.7886166E-03
13.63,.2031236E-03
13.64,.9895133E-03
13.65,.1394709E-02
13.66,.1499300E-02
13.67,.1306712E-02
13.68,.9793166E-03
13.69,.1029185E-02
13.7,.1699433E-02
13.71,.2241261E-02
13.72,.1806770E-02
13.73,.8375927E-03
13.74,.1323858E-03
13.75,.4145325E-05
13.76,.2652967E-03
13.77,.5584561E-03
13.78,.8348777E-03
13.79,.1270293E-02
13.8,.1340215E-02
13.81,.7009811E-03
13.82,-.1438413E-03
13.83,-.6424476E-03
13.84,-.7053599E-03
13.85,-.5784465E-03
13.86,-.3917042E-03
13.87,.1230934E-04
13.88,.6590062E-03
13.89,.1428323E-02
13.9,.1913079E-02
13.91,.1745448E-02
13.92,.1005859E-02
13.93,.6479463E-04
13.94,-.5910298E-03
13.95,-.4723411E-03
13.96,.3042605E-03
13.97,.1188346E-02
13.98,.1738039E-02
13.99,.1661291E-02
14,.9749584E-03
14.01,-.5786966E-04
14.02,-.1106084E-02
14.03,-.1866831E-02
14.04,-.1877219E-02
14.05,-.1057693E-02
14.06,-.5854951E-04
14.07,.4488743E-03
14.08,.3425581E-03
14.09,-.2100552E-03
14.1,-.1027278E-02
14.11,-.1867519E-02
14.12,-.2315608E-02
14.13,-.2275845E-02
14.14,-.1915351E-02
14.15,-.1483561E-02
14.16,-.1171915E-02
14.17,-.9972183E-03
14.18,-.7902272E-03
14.19,-.5076380E-03
14.2,-.4248801E-04
14.21,.5920379E-03
14.22,.6129846E-03
14.23,-.2501710E-03
14.24,-.1533550E-02
14.25,-.2512407E-02
14.26,-.2589865E-02
14.27,-.1847548E-02
14.28,-.5791458E-03
14.29,.7156055E-03
14.3,.1366835E-02
14.31,.1054679E-02
14.32,.1732549E-03
14.33,-.6241859E-03
14.34,-.1014269E-02
14.35,-.1096840E-02
14.36,-.1038186E-02
14.37,-.6492931E-03
14.38,.1114575E-03
14.39,.9521953E-03
14.4,.1123455E-02
14.41,.2947257E-03
14.42,-.6541848E-03
14.43,-.7439611E-03
14.44,-.1039538E-03
14.45,.5020017E-03
14.46,.4818302E-03
14.47,-.1172230E-03
14.48,-.8623163E-03
14.49,-.1120546E-02
14.5,-.4413870E-03
14.51,.8340612E-03
14.52,.1905292E-02
14.53,.2119474E-02
14.54,.1542871E-02
14.55,.7752953E-03
14.56,.3744304E-03
14.57,.5322271E-03
14.58,.9974400E-03
14.59,.1413890E-02
14.6,.1621834E-02
14.61,.1593246E-02
14.62,.1234062E-02
14.63,.6351654E-03
14.64,.2050864E-04
14.65,-.4644081E-03
14.66,-.6739213E-03
14.67,-.4795197E-03
14.68,-.3352414E-04
14.69,.4336915E-03
14.7,.6661023E-03
14.71,.4434559E-03
14.72,-.8660546E-04
14.73,-.5154206E-03
14.74,-.3045522E-03
14.75,.5788826E-03
14.76,.1694864E-02
14.77,.2261051E-02
14.78,.1632424E-02
14.79,.3229136E-03
14.8,-.6949153E-03
14.81,-.9767437E-03
14.82,-.7052130E-03
14.83,-.1509600E-03
14.84,.4946100E-03
14.85,.1222099E-02
14.86,.1845329E-02
14.87,.1793725E-02
14.88,.1012613E-02
14.89,.1819356E-04
14.9,-.3781669E-03
14.91,.2748373E-04
14.92,.4940789E-03
14.93,.3892757E-03
14.94,-.2702204E-03
14.95,-.1104977E-02
14.96,-.1765454E-02
14.97,-.1979346E-02
14.98,-.1661164E-02
14.99,-.1024790E-02
15,-.3542762E-03
15.01,.1266039E-04
15.02,-.1528087E-03
15.03,-.6363666E-03
15.04,-.1016499E-02
15.05,-.1025050E-02
15.06,-.7497738E-03
15.07,-.5129049E-03
15.08,-.6453690E-03
15.09,-.1100212E-02
15.1,-.1320678E-02
15.11,-.9150744E-03
15.12,-.1037191E-03
15.13,.6499340E-03
15.14,.1122721E-02
15.15,.1208143E-02
15.16,.7585983E-03
15.17,-.6690905E-05
15.18,-.7167723E-03
15.19,-.1183294E-02
15.2,-.1382650E-02
15.21,-.1406155E-02
15.22,-.1203099E-02
15.23,-.6584076E-03
15.24,-.1741234E-04
15.25,.4481105E-03
15.26,.4727909E-03
15.27,-.1091301E-03
15.28,-.8939997E-03
15.29,-.1247406E-02
15.3,-.9436584E-03
15.31,-.2385675E-03
15.32,.3983180E-03
15.33,.3035384E-03
15.34,-.6853025E-03
15.35,-.1787851E-02
15.36,-.1806341E-02
15.37,-.2688975E-03
15.38,.1455803E-02
15.39,.2009849E-02
15.4,.1526918E-02
15.41,.9924646E-03
15.42,.8176113E-03
15.43,.3949602E-03
15.44,-.9962709E-03
15.45,-.2371767E-02
15.46,-.2493338E-02
15.47,-.1438815E-02
15.48,-.9553093E-04
15.49,.8525586E-03
15.5,.1312296E-02
15.51,.1580253E-02
15.52,.1827287E-02
15.53,.1663740E-02
15.54,.7338706E-03
15.55,-.8030821E-03
15.56,-.1972495E-02
15.57,-.2207576E-02
15.58,-.1693275E-02
15.59,-.1005878E-02
15.6,-.5497458E-03
15.61,-.2230563E-03
15.62,-.8990563E-05
15.63,-.9215965E-04
15.64,-.4014478E-03
15.65,-.6410112E-03
15.66,-.5886788E-03
15.67,-.3094934E-03
15.68,-.1077684E-05
15.69,.2163956E-03
15.7,.3461273E-03
15.71,.4475382E-03
15.72,.5360642E-03
15.73,.5522162E-03
15.74,.4796720E-03
15.75,.5276145E-03
15.76,.8433318E-03
15.77,.1148229E-02
15.78,.1081781E-02
15.79,.7067912E-03
15.8,.2828146E-03
15.81,-.3708459E-04
15.82,-.2542130E-03
15.83,-.4387248E-03
15.84,-.6651144E-03
15.85,-.1073692E-02
15.86,-.1689831E-02
15.87,-.2315373E-02
15.88,-.2734006E-02
15.89,-.2592676E-02
15.9,-.1648618E-02
15.91,-.1877584E-03
15.92,.1323113E-02
15.93,.2019836E-02
15.94,.1527262E-02
15.95,.4663079E-03
15.96,-.3610883E-03
15.97,-.6000269E-03
15.98,-.3203918E-03
15.99,.3034397E-03
16,.1119162E-02
16.01,.1596250E-02
16.02,.9141923E-03
16.03,-.7285326E-03
16.04,-.1904968E-02
16.05,-.1686269E-02
16.06,-.5711609E-03
16.07,.4453660E-03
16.08,.7378370E-03
16.09,.6461739E-03
16.1,.7719927E-03
16.11,.1180381E-02
16.12,.1460955E-02
16.13,.1434764E-02
16.14,.1259725E-02
16.15,.1258276E-02
16.16,.1456482E-02
16.17,.1300136E-02
16.18,.4969208E-03
16.19,-.5315963E-03
16.2,-.1166131E-02
16.21,-.1292670E-02
16.22,-.1125211E-02
16.23,-.9216107E-03
16.24,-.6835982E-03
16.25,-.6838441E-04
16.26,.8222202E-03
16.27,.1233696E-02
16.28,.8610988E-03
16.29,.8476628E-04
16.3,-.6015558E-03
16.31,-.9929415E-03
16.32,-.1124309E-02
16.33,-.6355228E-03
16.34,.5102775E-03
16.35,.1425588E-02
16.36,.1421853E-02
16.37,.6596319E-03
16.38,-.1360813E-03
16.39,-.3793738E-03
16.4,.5313239E-04
16.41,.7439791E-03
16.42,.1117188E-02
16.43,.8553545E-03
16.44,.1195513E-03
16.45,-.6742285E-03
16.46,-.1109477E-02
16.47,-.7060774E-03
16.48,.4295940E-03
16.49,.1432425E-02
16.5,.1535685E-02
16.51,.9443985E-03
16.52,.3928899E-03
16.53,.2929336E-03
16.54,.5770538E-03
16.55,.9692085E-03
16.56,.1191366E-02
16.57,.9318151E-03
16.58,.1681748E-03
16.59,-.8128765E-03
16.6,-.1601432E-02
16.61,-.1715505E-02
16.62,-.1183402E-02
16.63,-.5262481E-03
16.64,-.2350236E-03
16.65,-.4534762E-03
16.66,-.9398125E-03
16.67,-.1343680E-02
16.68,-.1247380E-02
16.69,-.4915600E-03
16.7,.5954653E-03
16.71,.1064254E-02
16.72,-.1190339E-03
16.73,-.2002058E-02
16.74,-.3165652E-02
16.75,-.3039434E-02
16.76,-.2109151E-02
16.77,-.1234799E-02
16.78,-.8674370E-03
16.79,-.9434322E-03
16.8,-.1205830E-02
16.81,-.1404169E-02
16.82,-.1518604E-02
16.83,-.1838851E-02
16.84,-.2433425E-02
16.85,-.2707038E-02
16.86,-.1559607E-02
16.87,.5048803E-03
16.88,.1822089E-02
16.89,.1747291E-02
16.9,.6845191E-03
16.91,-.4747293E-03
16.92,-.1149108E-02
16.93,-.1297606E-02
16.94,-.1187948E-02
16.95,-.1116581E-02
16.96,-.1087003E-02
16.97,-.1003873E-02
16.98,-.8509239E-03
16.99,-.6564723E-03
17,-.4235960E-03
17.01,-.1502450E-03
17.02,.1552456E-03
17.03,.4941319E-03
17.04,.8579618E-03
17.05,.1244633E-02
17.06,.1623506E-02
17.07,.1693441E-02
17.08,.1217628E-02
17.09,.2466965E-03
17.1,-.7419794E-03
17.11,-.1207533E-02
17.12,-.9580029E-03
17.13,-.2276151E-03
17.14,.6865724E-03
17.15,.1508430E-02
17.16,.2015355E-02
17.17,.1983632E-02
17.18,.1545768E-02
17.19,.1018713E-02
17.2,.6184911E-03
17.21,.3570125E-03
17.22,.1331485E-03
17.23,-.1334681E-04
17.24,.2968807E-04
17.25,.1092124E-03
17.26,.1130673E-04
17.27,-.2688153E-03
17.28,-.3755573E-03
17.29,.2163282E-03
17.3,.1257264E-02
17.31,.1858330E-02
17.32,.1672117E-02
17.33,.1075735E-02
17.34,.7693052E-03
17.35,.1068853E-02
17.36,.1695157E-02
17.37,.2135707E-02
17.38,.2089458E-02
17.39,.1571791E-02
17.4,.8808791E-03
17.41,.2979611E-03
17.42,-.9673718E-04
17.43,-.2636189E-03
17.44,.1110463E-03
17.45,.1001990E-02
17.46,.2002953E-02
17.47,.2787714E-02
17.48,.3132084E-02
17.49,.2848702E-02
17.5,.1857247E-02
17.51,.6161433E-03
17.52,-.3845880E-03
17.53,-.8841097E-03
17.54,-.9450354E-03
17.55,-.6507612E-03
17.56,-.1647166E-03
17.57,.2817335E-03
17.58,.5829301E-03
17.59,.6714168E-03
17.6,.4221794E-03
17.61,-.2496238E-03
17.62,-.1366907E-02
17.63,-.2024820E-02
17.64,-.1224858E-02
17.65,.5608288E-03
17.66,.2072969E-02
17.67,.2531884E-02
17.68,.1804603E-02
17.69,.3719336E-03
17.7,-.1042245E-02
17.71,-.1814955E-02
17.72,-.1628609E-02
17.73,-.5805879E-03
17.74,.6877898E-03
17.75,.1445659E-02
17.76,.1271846E-02
17.77,.4983296E-03
17.78,-.2658567E-03
17.79,-.6751441E-03
17.8,-.7482407E-03
17.81,-.6871089E-03
17.82,-.6705127E-03
17.83,-.5156612E-03
17.84,-.3202839E-04
17.85,.4883534E-03
17.86,.6251350E-03
17.87,.3135075E-03
17.88,-.2313764E-03
17.89,-.7539503E-03
17.9,-.1028768E-02
17.91,-.8300674E-03
17.92,-.2999400E-03
17.93,.2501839E-03
17.94,.4106315E-03
17.95,.8154410E-04
17.96,-.7406675E-04
17.97,.4475976E-03
17.98,.1286825E-02
17.99,.1587044E-02
18,.1038578E-02
18.01,-.2351585E-04
18.02,-.1002147E-02
18.03,-.1526054E-02
18.04,-.1577197E-02
18.05,-.1393006E-02
18.06,-.1084577E-02
18.07,-.7037364E-03
18.08,-.3245190E-03
18.09,-.3818180E-05
18.1,.2347528E-03
18.11,.4174729E-03
18.12,.4216141E-03
18.13,.1879048E-03
18.14,-.1848467E-03
18.15,-.5726441E-03
18.16,-.8521257E-03
18.17,-.9498317E-03
18.18,-.7984675E-03
18.19,-.2099139E-03
18.2,.5728231E-03
18.21,.9599078E-03
18.22,.8210691E-03
18.23,.5462487E-03
18.24,.4929376E-03
18.25,.5496490E-03
18.26,.4228953E-03
18.27,.8365484E-04
18.28,-.2973360E-03
18.29,-.5678294E-03
18.3,-.6382563E-03
18.31,-.5092546E-03
18.32,-.1895126E-03
18.33,.1904169E-03
18.34,.4717428E-03
18.35,.4662679E-03
18.36,.1092802E-03
18.37,-.4102797E-03
18.38,-.7415690E-03
18.39,-.5610629E-03
18.4,.7856020E-04
18.41,.9338895E-03
18.42,.1685835E-02
18.43,.1932071E-02
18.44,.1221528E-02
18.45,-.5650314E-03
18.46,-.2203951E-02
18.47,-.2683343E-02
18.48,-.2229032E-02
18.49,-.1423522E-02
18.5,-.2766826E-03
18.51,.9500662E-03
18.52,.1637987E-02
18.53,.1496857E-02
18.54,.8426563E-03
18.55,.1869380E-03
18.56,-.2164974E-03
18.57,-.3496624E-03
18.58,-.2794623E-03
18.59,-.1753448E-03
18.6,-.1113574E-03
18.61,.3178353E-04
18.62,.2991716E-03
18.63,.5560489E-03
18.64,.6886352E-03
18.65,.9178869E-03
18.66,.1456522E-02
18.67,.2081188E-02
18.68,.2174223E-02
18.69,.1383712E-02
18.7,.2202430E-03
18.71,-.6575778E-03
18.72,-.9297698E-03
18.73,-.8032739E-03
18.74,-.7602055E-03
18.75,-.1132923E-02
18.76,-.1616924E-02
18.77,-.1682629E-02
18.78,-.1276643E-02
18.79,-.7871144E-03
18.8,-.6289000E-03
18.81,-.8227819E-03
18.82,-.1017947E-02
18.83,-.7914772E-03
18.84,-.1515575E-03
18.85,.6068819E-03
18.86,.1240234E-02
18.87,.1584667E-02
18.88,.1327082E-02
18.89,.4631498E-03
18.9,-.7046852E-03
18.91,-.1758637E-02
18.92,-.2003794E-02
18.93,-.1312368E-02
18.94,-.4156360E-03
18.95,.4107315E-04
18.96,-.8741020E-05
18.97,-.3570273E-03
18.98,-.7815208E-03
18.99,-.1101855E-02
19,-.1228250E-02
19.01,-.1119243E-02
19.02,-.4609162E-03
19.03,.6956456E-03
19.04,.1194167E-02
19.05,.3952406E-03
19.06,-.8636668E-03
19.07,-.1485759E-02
19.08,-.1075164E-02
19.09,-.4434002E-04
19.1,.1025404E-02
19.11,.1788425E-02
19.12,.2187392E-02
19.13,.2145057E-02
19.14,.1664636E-02
19.15,.1006114E-02
19.16,.4245613E-03
19.17,.4682405E-04
19.18,-.7680617E-04
19.19,-.5974532E-04
19.2,-.7510759E-04
19.21,-.1539853E-03
19.22,-.1691388E-03
19.23,-.7494786E-04
19.24,.3160082E-04
19.25,.6370023E-04
19.26,-.3132776E-05
19.27,-.1754311E-03
19.28,-.3894193E-03
19.29,-.5745386E-03
19.3,-.6278275E-03
19.31,-.3897071E-03
19.32,.6921495E-04
19.33,.4770314E-03
19.34,.4691426E-03
19.35,.9449613E-04
19.36,.8363051E-04
19.37,.8400644E-03
19.38,.1975862E-02
19.39,.2790936E-02
19.4,.2970964E-02
19.41,.2298165E-02
19.42,.2651464E-03
19.43,-.2207339E-02
19.44,-.2926536E-02
19.45,-.1786131E-02
19.46,-.2582124E-03
19.47,.2446465E-03
19.48,-.4582891E-03
19.49,-.1519165E-02
19.5,-.2090524E-02
19.51,-.2114296E-02
19.52,-.1952934E-02
19.53,-.1661226E-02
19.54,-.1234692E-02
19.55,-.6736522E-03
19.56,.2646708E-03
19.57,.1417274E-02
19.58,.1951073E-02
19.59,.1184434E-02
19.6,-.6856148E-03
19.61,-.2549697E-02
19.62,-.3493025E-02
19.63,-.3128877E-02
19.64,-.1677750E-02
19.65,.3557738E-04
19.66,.1119915E-02
19.67,.1146190E-02
19.68,.4973439E-03
19.69,-.2493901E-03
19.7,-.7417914E-03
19.71,-.1118144E-02
19.72,-.1664296E-02
19.73,-.2378639E-02
19.74,-.2489282E-02
19.75,-.5947950E-03
19.76,.2617269E-02
19.77,.4914960E-02
19.78,.5325676E-02
19.79,.3910068E-02
19.8,.1073903E-02
19.81,-.1759933E-02
19.82,-.2972185E-02
19.83,-.2620249E-02
19.84,-.1648390E-02
19.85,-.8828098E-03
19.86,-.7250435E-03
19.87,-.1084236E-02
19.88,-.1450598E-02
19.89,-.1298191E-02
19.9,-.6147282E-03
19.91,.2262365E-03
19.92,.5690608E-03
19.93,.2026470E-03
19.94,-.2995306E-03
19.95,-.4318613E-03
19.96,-.5902110E-04
19.97,.6553598E-03
19.98,.1402137E-02
19.99,.1886015E-02
20,.1765616E-02
20.01,.1050095E-02
20.02,.6324429E-04
20.03,-.8450994E-03
20.04,-.1485818E-02
20.05,-.1749044E-02
20.06,-.1710372E-02
20.07,-.1255544E-02
20.08,-.3823105E-03
20.09,.6107875E-03
20.1,.1443111E-02
20.11,.2084407E-02
20.12,.2615573E-02
20.13,.2709719E-02
20.14,.2054394E-02
20.15,.5804615E-03
20.16,-.9562784E-03
20.17,-.1592860E-02
20.18,-.9998789E-03
20.19,.2436032E-03
20.2,.1048137E-02
20.21,.9546656E-03
20.22,.2527085E-03
20.23,-.4110446E-03
20.24,-.4082618E-03
20.25,.2958682E-03
20.26,.1234114E-02
20.27,.1809121E-02
20.28,.1797137E-02
20.29,.1458038E-02
20.3,.1152462E-02
20.31,.1002710E-02
20.32,.7924433E-03
20.33,.3756507E-03
20.34,-.1549154E-03
20.35,-.5833521E-03
20.36,-.4625216E-03
20.37,.2937360E-03
20.38,.1298181E-02
20.39,.2080740E-02
20.4,.2428541E-02
20.41,.2227945E-02
20.42,.1580689E-02
20.43,.7130086E-03
20.44,-.1352592E-03
20.45,-.6905730E-03
20.46,-.6410986E-03
20.47,-.1573190E-03
20.48,.1740015E-03
20.49,-.1408881E-04
20.5,-.5788871E-03
20.51,-.1109370E-02
20.52,-.1209810E-02
20.53,-.8790491E-03
20.54,-.4231246E-03
20.55,-.1632300E-03
20.56,-.1736828E-03
20.57,-.3138097E-03
20.58,-.4525249E-03
20.59,-.5717512E-03
20.6,-.6552758E-03
20.61,-.4741978E-03
20.62,.1033622E-03
20.63,.7790315E-03
20.64,.1052860E-02
20.65,.8511427E-03
20.66,.4676573E-03
20.67,.2108891E-03
20.68,.1745628E-03
20.69,.2518131E-03
20.7,.2440339E-03
20.71,.1105284E-03
20.72,.5673424E-04
20.73,.1934046E-03
20.74,.3972797E-03
20.75,.4044719E-03
20.76,.1665409E-03
20.77,-.1582255E-04
20.78,.1400358E-03
20.79,.5644768E-03
20.8,.8772602E-03
20.81,.7940323E-03
20.82,.4091784E-03
20.83,-.1705817E-04
20.84,-.2839655E-03
20.85,-.3442379E-03
20.86,-.3473374E-03
20.87,-.5140629E-03
20.88,-.8873507E-03
20.89,-.1324708E-02
20.9,-.1388024E-02
20.91,-.7825719E-03
20.92,.1036372E-03
20.93,.5485484E-03
20.94,.3661568E-03
20.95,-.1619542E-03
20.96,-.6809469E-03
20.97,-.9774603E-03
20.98,-.9913524E-03
20.99,-.6710300E-03
21,-.1121779E-03
21.01,.4890806E-03
21.02,.9622619E-03
21.03,.9201089E-03
21.04,.2708058E-03
21.05,-.6216513E-03
21.06,-.1363320E-02
21.07,-.1556004E-02
21.08,-.1012764E-02
21.09,-.1511069E-03
21.1,.4411313E-03
21.11,.5343286E-03
21.12,.1770005E-03
21.13,-.3515448E-03
21.14,-.7462260E-03
21.15,-.7164309E-03
21.16,-.2678046E-03
21.17,.2069227E-03
21.18,.3045512E-03
21.19,.4709509E-04
21.2,-.2063196E-03
21.21,-.2146171E-03
21.22,-.1014775E-03
21.23,-.7153464E-04
21.24,-.1540455E-03
21.25,-.2628142E-03
21.26,-.3361669E-03
21.27,-.3949802E-03
21.28,-.4875852E-03
21.29,-.6155188E-03
21.3,-.7004027E-03
21.31,-.6758645E-03
21.32,-.5768937E-03
21.33,-.5090404E-03
21.34,-.4525581E-03
21.35,-.7156813E-04
21.36,.7285488E-03
21.37,.1167499E-02
21.38,.1603615E-03
21.39,-.1351206E-02
21.4,-.1952978E-02
21.41,-.1097717E-02
21.42,.4436367E-03
21.43,.1408687E-02
21.44,.1355562E-02
21.45,.7213988E-03
21.46,.1446667E-03
21.47,-.8235065E-04
21.48,-.1185252E-03
21.49,-.1387663E-03
21.5,-.1791220E-03
21.51,-.1399778E-03
21.52,.3553435E-04
21.53,.2706013E-03
21.54,.4705828E-03
21.55,.6005232E-03
21.56,.5816183E-03
21.57,.3883051E-03
21.58,.2357063E-03
21.59,.4831009E-03
21.6,.1130439E-02
21.61,.1780827E-02
21.62,.1796084E-02
21.63,.1204009E-02
21.64,.5385500E-03
21.65,.1553977E-03
21.66,.9871095E-04
21.67,.3973606E-03
21.68,.9130885E-03
21.69,.1351097E-02
21.7,.1407840E-02
21.71,.9331303E-03
21.72,.2451208E-03
21.73,-.2390882E-03
21.74,-.3098161E-03
21.75,-.1040579E-03
21.76,.8530768E-04
21.77,-.1191102E-04
21.78,-.2840717E-03
21.79,-.1878605E-03
21.8,.4418736E-03
21.81,.1089741E-02
21.82,.1210308E-02
21.83,.6684798E-03
21.84,-.2622274E-03
21.85,-.1038474E-02
21.86,-.1337117E-02
21.87,-.1156938E-02
21.88,-.6475758E-03
21.89,-.3631056E-04
21.9,.4574920E-03
21.91,.7391846E-03
21.92,.8758806E-03
21.93,.8297564E-03
21.94,.5707575E-03
21.95,.2768842E-03
21.96,.1825718E-03
21.97,.2962598E-03
21.98,.4697966E-03
21.99,.6105859E-03
22,.7718603E-03
22.01,.9149650E-03
22.02,.7569719E-03
22.03,.2615895E-03
22.04,-.2619103E-03
22.05,-.5866057E-03
22.06,-.7306928E-03
22.07,-.7798274E-03
22.08,-.6499090E-03
22.09,-.3295871E-03
22.1,.2680180E-04
22.11,.2322497E-03
22.12,.4149755E-03
22.13,.7403306E-03
22.14,.9185026E-03
22.15,.5571938E-03
22.16,-.1842698E-03
22.17,-.9332078E-03
22.18,-.1371565E-02
22.19,-.1221542E-02
22.2,-.6251820E-03
22.21,-.1060344E-03
22.22,-.7529244E-04
22.23,-.1287451E-03
22.24,.2300158E-03
22.25,.5942643E-03
22.26,.4723854E-03
22.27,-.6305192E-04
22.28,-.5600732E-03
22.29,-.7274787E-03
